,key,value
38475,the,10030
2643,and,5729
15098,for,4483
43216,you,4266
38465,that,3213
38624,this,2938
42452,with,2555
3158,are,2370
17627,have,2368
41810,was,1828
26556,not,1805
38477,The,1624
6450,but,1596
2299,all,1568
15482,from,1530
38572,they,1464
6718,can,1414
43228,your,1398
27192,one,1350
22486,like,1344
20772,just,1319
27571,out,1221
2560,amp,1198
1382,about,1149
42335,will,1134
16140,get,1087
17558,has,1086
42117,what,1062
20773,Just,1031
43217,You,1007
28607,people,975
26617,now,929
42240,who,890
42151,when,855
38859,time,852
38543,there,837
11865,don,836
25127,more,827
42698,would,827
16520,good,823
21443,know,808
18139,his,792
38500,their,782
38625,This,773
4645,been,773
38506,them,768
34159,see,753
27560,our,730
39137,too,714
38601,think,702
17221,had,698
28931,photo,691
18543,how,678
42118,What,652
35868,some,651
10260,day,630
29762,posted,626
38466,That,619
17937,here,606
3986,back,601
2644,And,592
27213,only,573
22988,love,568
17928,her,567
25957,need,554
25369,much,550
39024,today,550
16616,got,537
42618,work,536
38573,They,525
34681,she,521
38442,than,520
18096,him,519
27650,over,506
41136,very,505
16472,going,504
16827,great,489
41896,way,479
42035,well,479
32768,right,471
26964,off,465
38446,Thank,463
4721,being,459
34913,should,459
38519,then,458
36735,still,457
42062,were,451
41721,want,449
1908,after,441
4598,because,441
38458,Thanks,439
14734,first,435
43065,years,432
6452,But,430
31624,really,428
11203,did,425
3712,Australia,421
27525,other,417
13563,even,417
23619,many,414
26136,new,411
42276,why,411
38565,these,408
33755,say,400
11989,down,399
19840,into,395
26557,Not,392
26126,never,392
9284,could,391
23411,make,391
18544,How,390
16521,Good,388
2886,any,383
43117,Yes,377
21910,last,377
4903,best,367
35881,something,361
37820,take,346
38651,those,342
4936,better,340
2403,also,339
11883,done,339
2432,always,338
22889,look,337
37446,sure,336
4667,before,330
42036,Well,326
23887,mate,309
22434,life,304
33547,same,304
23492,man,300
26170,next,299
1924,again,299
33437,said,298
22658,little,297
38593,thing,296
38544,There,296
41987,week,290
13577,ever,289
43057,year,287
11208,didn,283
23266,made,283
6719,Can,282
25147,morning,281
42653,world,280
22989,Love,279
11781,doesn,276
8374,come,273
34682,She,272
11778,does,269
22873,long,267
5025,big,267
38658,thought,266
42157,where,266
25207,most,265
18394,hope,265
3236,around,262
42169,which,262
38597,things,261
11809,doing,249
21708,Labor,248
42607,Wordle,246
18283,home,246
27091,old,246
15631,fun,243
16648,government,243
30884,put,242
14378,feel,240
10268,days,238
17889,help,238
2300,All,237
38719,through,237
42277,Why,236
39980,two,233
14487,few,232
16828,Great,231
2793,another,228
17490,hard,227
3715,Australian,227
26262,night,227
27746,own,226
20145,its,226
20524,job,225
4587,beautiful,225
22959,lot,224
15836,game,224
5181,bit,223
13585,every,223
42176,while,222
16153,getting,219
42538,women,219
31603,real,218
34938,show,218
22276,let,218
28750,person,217
35878,someone,217
43050,Yeah,217
1642,actually,216
13593,everyone,213
1928,against,212
38656,though,212
14135,family,211
16297,give,211
25535,must,210
42543,won,210
13113,enough,208
14650,find,207
21066,keep,204
22665,live,203
34805,shit,201
12728,election,200
37405,support,200
37177,such,200
42152,When,199
6883,care,199
2899,anyone,198
3872,away,197
11866,Don,197
2463,amazing,196
26573,nothing,195
4039,bad,194
41632,wait,193
5731,both,192
41846,watch,191
22897,looking,191
24547,might,191
29289,play,191
34185,seen,189
40705,use,189
29215,place,187
20082,isn,186
42767,wrong,185
42241,Who,184
26618,Now,183
36807,stop,182
39714,true,182
42467,without,180
2903,anything,179
17636,having,178
35939,soon,178
38196,tell,178
6639,call,177
36564,start,177
41168,via,177
26222,nice,176
31081,que,176
481,2022,175
17468,happy,175
25171,Morrison,174
17628,Have,173
21251,kids,173
4753,believe,172
41990,weekend,170
38090,team,169
14177,far,168
24055,mean,167
28189,part,167
17469,Happy,166
40240,under,165
5068,bill,165
15352,free,164
1986,ago,164
22845,lol,164
8406,coming,163
23958,may,163
22901,looks,162
22744,LNP,162
25029,money,161
12999,end,161
42360,win,160
15615,full,160
26154,news,160
39120,tonight,159
29339,please,158
28239,party,157
36839,story,156
25970,needs,156
39762,trying,156
15433,friend,155
22129,left,153
35183,since,153
2396,already,153
30140,pretty,152
27193,One,152
17691,head,151
7336,change,151
23421,making,151
26137,New,150
42709,Wow,150
40710,used,149
23416,makes,149
38874,times,148
31586,read,148
37677,Sydney,148
18861,idea,148
9328,country,147
39025,Today,147
22076,least,146
43229,Your,146
